4506.9549 181.803 2.989
4514.7822 156.747 2.577
4523.8819 136.521 2.368
4524.9128 134.896 2.340
4525.9451 130.858 2.270
4527.8069 135.270 2.347
4528.8610 131.099 2.274
4529.9749 131.220 2.276
4531.7833 134.648 2.336
4531.9060 135.519 2.351
4532.7371 130.137 2.258
4532.9014 134.896 2.340
4532.9744 133.291 2.312
4533.8570 133.414 2.314
4536.8516 124.968 2.168
4538.8922 127.526 2.212
4539.9394 134.772 2.338
4540.8671 142.955 2.350
4543.9177 134.648 2.336
4544.8970 131.583 2.283
4545.7365 131.947 2.289
4545.9334 129.658 2.249
4546.8579 127.644 2.214
4547.8530 120.226 2.086
4548.6892 114.499 1.986
4551.8206 107.349 1.862
4552.8830 103.562 1.797
4553.7790 106.856 1.854
4554.8134 101.111 1.754
4556.8861 101.391 1.759
4558.8317 103.467 1.982
4559.8799 102.518 1.778
4560.6702 104.906 1.820
4561.7736 113.763 1.973
4566.8836 126.125 3.324
4567.6410 126.824 2.200
4567.9076 126.474 2.194
4568.6444 134.896 2.340
4568.7743 136.521 2.368
4569.7654 144.544 2.377
4570.7577 162.330 2.669
4571.6862 167.958 2.762
4571.8797 150.245 2.470
4572.6656 167.186 2.749
4573.7106 167.032 2.746
4574.6850 158.343 2.603
4575.8379 152.475 2.507
4576.7949 158.928 2.613
4577.8224 157.036 2.582
4578.8401 158.343 2.603
4579.6481 164.286 2.701
4580.8312 171.080 2.813
4581.6485 173.620 2.855
4582.6831 168.578 2.772
4583.6498 176.848 2.908
4584.6498 178.978 2.943
4585.6510 180.136 2.962
4586.6834 180.634 2.970
4587.6842 181.301 2.981
4589.6777 168.112 2.764
4590.8217 158.343 3.889
4592.6553 164.135 2.699
4596.6895 153.886 2.530
4597.7144 145.613 2.394
4598.6577 145.479 3.442
4602.8038 124.738 2.164
